,Unnamed: 0,row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub-category,product_name,sales,year,month,day,discount,competitor_price,price_elasticity,order_days,ship_days
18,18,19,CA-2015-143336,2015-08-27,2015-09-01,2,ZD-21925,Zuschuss Donatelli,0,0,436,3,94109.0,3,OFF-AR-10003056,1,2,1149,8.56,2015,8,27,0.1628397551558043,9.19360400542681,0.9310820865187576,236,237
19,19,20,CA-2015-143336,2015-08-27,2015-09-01,2,ZD-21925,Zuschuss Donatelli,0,0,436,3,94109.0,3,TEC-PH-10001949,2,13,436,213.48,2015,8,27,0.0917819315742076,230.61494633587915,0.9256988906914864,236,237
20,20,21,CA-2015-143336,2015-08-27,2015-09-01,2,ZD-21925,Zuschuss Donatelli,0,0,436,3,94109.0,3,OFF-BI-10002215,1,3,1632,22.72,2015,8,27,0.2058936169870665,23.29208757209368,0.9754385445133266,236,237
21,21,22,CA-2017-137330,2017-12-09,2017-12-13,3,KB-16585,Ken Black,1,0,158,25,68025.0,0,OFF-AR-10000246,1,2,1123,19.46,2017,12,9,0.199759109068748,19.490915802434483,0.9984138353093382,1071,1071
22,22,23,CA-2017-137330,2017-12-09,2017-12-13,3,KB-16585,Ken Black,1,0,158,25,68025.0,0,OFF-AP-10001492,1,1,78,60.34,2017,12,9,0.1719347721792387,54.61815261424639,1.1047609102813405,1071,1071
23,23,24,US-2018-156909,2018-07-16,2018-07-18,2,SF-20065,Sandra Flanagan,0,0,372,36,19140.0,1,FUR-CH-10002774,0,5,745,71.372,2018,7,16,0.0573204836893273,64.47590319155329,1.1069561877707847,1290,1288
24,24,25,CA-2016-106320,2016-09-25,2016-09-30,3,EB-13870,Emily Burns,0,0,349,42,84057.0,3,FUR-TA-10000577,0,16,366,1044.63,2016,9,25,0.2404814154817333,1066.2694932985871,0.979705418344434,631,632
25,25,26,CA-2017-121755,2017-01-16,2017-01-20,2,EH-13945,Eric Hoffmann,0,0,265,3,90049.0,3,OFF-BI-10001634,1,3,1623,11.648,2017,1,16,0.0673689620008735,11.370208219762048,1.0244315473269112,744,744
26,26,27,CA-2017-121755,2017-01-16,2017-01-20,2,EH-13945,Eric Hoffmann,0,0,265,3,90049.0,3,TEC-AC-10003027,2,0,913,90.57,2017,1,16,0.2419186497931336,82.83075498116104,1.0934344377351042,744,744
27,27,28,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,0,372,36,19140.0,1,FUR-BO-10004834,0,4,1350,3083.43,2016,9,17,0.1649242163619068,2897.648813803421,1.064114459044029,623,623
28,28,29,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,0,372,36,19140.0,1,OFF-BI-10000474,1,3,265,9.618,2016,9,17,0.117515339479536,9.332763113011852,1.0305629622796777,623,623
29,29,30,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,0,372,36,19140.0,1,FUR-FU-10004848,0,9,880,124.2,2016,9,17,0.2449044097450344,123.76775727000944,1.003492369414496,623,623
30,30,31,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,0,372,36,19140.0,1,OFF-EN-10001509,1,7,1283,3.264,2016,9,17,0.2915674737210076,3.048873660329356,1.0705592830787891,623,623
31,31,32,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,0,372,36,19140.0,1,OFF-AR-10004042,1,2,279,86.304,2016,9,17,0.2448896000861887,89.33864031360933,0.9660321636533006,623,623
32,32,33,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,0,372,36,19140.0,1,OFF-BI-10001525,1,3,73,6.858,2016,9,17,0.1314327001324184,6.730704585487512,1.0189126432300948,623,623
33,33,34,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,0,372,36,19140.0,1,OFF-AR-10001683,1,2,1030,15.76,2016,9,17,0.1368778543923788,16.756363551355108,0.9405381992159908,623,623
34,34,35,CA-2018-107727,2018-10-19,2018-10-23,2,MA-17560,Matt Abelman,2,0,207,41,77095.0,0,OFF-PA-10000249,1,12,537,29.472,2018,10,19,0.1990522197158308,27.744147956397217,1.0622780719854248,1385,1385
35,35,36,CA-2017-117590,2017-12-08,2017-12-10,0,GH-14485,Gene Hale,1,0,404,41,75080.0,0,TEC-PH-10004977,2,13,724,1097.544,2017,12,8,0.0659063233206796,1085.736196137164,1.0108753893485785,1070,1068
36,36,37,CA-2017-117590,2017-12-08,2017-12-10,0,GH-14485,Gene Hale,1,0,404,41,75080.0,0,FUR-FU-10003664,0,9,592,190.92,2017,12,8,0.2940658212121499,191.1317693579143,0.998892024289705,1070,1068
37,37,38,CA-2016-117415,2016-12-27,2016-12-31,3,SN-20710,Steve Nguyen,2,0,207,41,77041.0,0,OFF-EN-10002986,1,7,6,113.328,2016,12,27,0.1560966821119083,111.28664425427192,1.0183432231190646,724,724
38,38,39,CA-2016-117415,2016-12-27,2016-12-31,3,SN-20710,Steve Nguyen,2,0,207,41,77041.0,0,FUR-BO-10002545,0,4,167,532.3992,2016,12,27,0.1684925364540875,479.6844697582253,1.1098945943952374,724,724
39,39,40,CA-2016-117415,2016-12-27,2016-12-31,3,SN-20710,Steve Nguyen,2,0,207,41,77041.0,0,FUR-CH-10004218,0,5,751,212.058,2016,12,27,0.1750011844022385,201.90511318564108,1.0502854368280603,724,724
40,40,41,CA-2016-117415,2016-12-27,2016-12-31,3,SN-20710,Steve Nguyen,2,0,207,41,77041.0,0,TEC-PH-10000486,2,13,1272,371.168,2016,12,27,0.0738571277685474,355.06498734673744,1.0453522966981177,724,724
41,41,42,CA-2018-120999,2018-09-10,2018-09-15,3,LC-16930,Linda Cazamias,1,0,319,11,60540.0,0,TEC-PH-10004093,2,13,1243,147.168,2018,9,10,0.266658024683947,141.3182590961387,1.0413940911901678,1346,1347
42,42,43,CA-2017-101343,2017-07-17,2017-07-22,3,RA-19885,Ruben Ausman,1,0,265,3,90049.0,3,OFF-ST-10003479,1,14,556,77.88,2017,7,17,0.1102080556559108,72.00133153205465,1.081646663233279,926,927
43,43,44,CA-2018-139619,2018-09-19,2018-09-23,3,ES-14080,Erin Smith,1,0,286,8,32935.0,2,OFF-ST-10003282,1,14,115,95.616,2018,9,19,0.1190518290076892,97.88312269000332,0.9768384719684178,1355,1355
44,44,45,CA-2017-118255,2017-03-11,2017-03-13,0,ON-18715,Odella Nelson,1,0,129,21,55122.0,0,TEC-AC-10000171,2,0,1597,45.98,2017,3,11,0.2789171348011947,50.4819491824216,0.9108206149855,798,796
45,45,46,CA-2017-118255,2017-03-11,2017-03-13,0,ON-18715,Odella Nelson,1,0,129,21,55122.0,0,OFF-BI-10003291,1,3,1636,17.46,2017,3,11,0.1044998877296398,16.70909273167958,1.044940038359877,798,796
46,46,47,CA-2015-146703,2015-10-20,2015-10-25,2,PO-18865,Patrick O'Donnell,0,0,514,20,48185.0,0,OFF-ST-10001713,1,14,775,211.96,2015,10,20,0.0932758900126572,219.68052434353567,0.9648556722695076,290,291
47,47,48,CA-2017-169194,2017-06-20,2017-06-25,3,LH-16900,Lena Hernandez,0,0,124,6,19901.0,1,TEC-AC-10002167,2,0,914,45.0,2017,6,20,0.0889083530527904,41.78122299878937,1.0770388411393297,899,900
48,48,49,CA-2017-169194,2017-06-20,2017-06-25,3,LH-16900,Lena Hernandez,0,0,124,6,19901.0,1,TEC-PH-10003988,2,13,966,21.8,2017,6,20,0.1204719148409023,20.09894924052112,1.0846338153862003,899,900
49,49,50,CA-2016-115742,2016-04-18,2016-04-22,3,DP-13000,Darren Powers,0,0,322,12,47150.0,0,OFF-BI-10004410,1,3,394,38.22,2016,4,18,0.2105610730863384,37.99417751052027,1.0059436077914097,471,471
50,50,51,CA-2016-115742,2016-04-18,2016-04-22,3,DP-13000,Darren Powers,0,0,322,12,47150.0,0,OFF-LA-10002762,1,10,192,75.18,2016,4,18,0.1998168444958354,77.2325183257951,0.9734241693746564,471,471
51,51,52,CA-2016-115742,2016-04-18,2016-04-22,3,DP-13000,Darren Powers,0,0,322,12,47150.0,0,FUR-FU-10001706,0,9,1028,6.16,2016,4,18,0.1204317400881926,6.640112637823045,0.9276951063919828,471,471
52,52,53,CA-2016-115742,2016-04-18,2016-04-22,3,DP-13000,Darren Powers,0,0,322,12,47150.0,0,FUR-CH-10003061,0,5,759,89.99,2016,4,18,0.1336177776773152,95.3977200853059,0.9433139483787426,471,471
53,53,54,CA-2017-105816,2017-12-11,2017-12-17,3,JM-15265,Janet Molinari,1,0,327,30,10024.0,1,OFF-FA-10000304,1,8,122,15.26,2017,12,11,0.1626492638935736,16.042880325723495,0.9512007625919762,1073,1075
54,54,55,CA-2017-105816,2017-12-11,2017-12-17,3,JM-15265,Janet Molinari,1,0,327,30,10024.0,1,TEC-PH-10002447,2,13,43,1029.95,2017,12,11,0.1406111561562185,995.7492519700344,1.0343467473988068,1073,1075
55,55,56,CA-2017-111682,2017-06-17,2017-06-18,0,TB-21055,Ted Butterfield,0,0,486,30,12180.0,1,OFF-ST-10000604,1,14,823,208.56,2017,6,17,0.2199280889666827,191.0930400603468,1.0914055265128293,896,893
56,56,57,CA-2017-111682,2017-06-17,2017-06-18,0,TB-21055,Ted Butterfield,0,0,486,30,12180.0,1,OFF-PA-10001569,1,12,1829,32.4,2017,6,17,0.1742804439580543,32.38605385983592,1.0004306217801169,896,893
57,57,58,CA-2017-111682,2017-06-17,2017-06-18,0,TB-21055,Ted Butterfield,0,0,486,30,12180.0,1,FUR-CH-10003968,0,5,1173,319.41,2017,6,17,0.0574715208971347,293.95955323499294,1.0865780563513847,896,893
58,58,59,CA-2017-111682,2017-06-17,2017-06-18,0,TB-21055,Ted Butterfield,0,0,486,30,12180.0,1,OFF-PA-10000587,1,12,159,14.56,2017,6,17,0.2387922640216559,14.74083332160549,0.9877324899033731,896,893
59,59,60,CA-2017-111682,2017-06-17,2017-06-18,0,TB-21055,Ted Butterfield,0,0,486,30,12180.0,1,TEC-AC-10002167,2,0,914,30.0,2017,6,17,0.1493069163946181,27.644490814395574,1.0852071829218797,896,893
60,60,61,CA-2017-111682,2017-06-17,2017-06-18,0,TB-21055,Ted Butterfield,0,0,486,30,12180.0,1,OFF-BI-10001460,1,3,1279,48.48,2017,6,17,0.095661776680949,50.94522822436519,0.951610223169318,896,893
61,61,62,CA-2017-111682,2017-06-17,2017-06-18,0,TB-21055,Ted Butterfield,0,0,486,30,12180.0,1,OFF-AR-10001868,1,2,1297,1.68,2017,6,17,0.0813312728246429,1.5125035882665367,1.1107411665220768,896,893
62,62,63,CA-2016-135545,2016-11-24,2016-11-30,3,KM-16720,Kunst Miller,0,0,265,3,90004.0,3,TEC-AC-10004633,2,0,1598,13.98,2016,11,24,0.2768976496541519,13.385929008970216,1.0443802586007802,691,693
63,63,64,CA-2016-135545,2016-11-24,2016-11-30,3,KM-16720,Kunst Miller,0,0,265,3,90004.0,3,OFF-BI-10001078,1,3,66,25.824,2016,11,24,0.0736074522499439,24.996730398737405,1.0330951123633507,691,693
64,64,65,CA-2016-135545,2016-11-24,2016-11-30,3,KM-16720,Kunst Miller,0,0,265,3,90004.0,3,OFF-PA-10003892,1,12,1730,146.73,2016,11,24,0.0872848286097767,161.00605760867563,0.9113321708468044,691,693
65,65,66,CA-2016-135545,2016-11-24,2016-11-30,3,KM-16720,Kunst Miller,0,0,265,3,90004.0,3,FUR-FU-10000397,0,9,1033,79.76,2016,11,24,0.1083988438586368,87.67607506075974,0.9097122555352316,691,693
66,66,67,US-2016-164175,2016-04-30,2016-05-05,3,PS-18970,Paul Stevenson,2,0,80,11,60610.0,0,FUR-CH-10001146,0,5,769,213.115,2016,4,30,0.0856952023214967,233.9148191908774,0.911079514915622,483,484
67,67,68,CA-2015-106376,2015-12-05,2015-12-10,3,BS-11590,Brendan Sweed,1,0,166,1,85234.0,3,OFF-AR-10002671,1,2,884,1113.024,2015,12,5,0.0705170803135311,1080.4509116161264,1.030147680041429,336,337
68,68,69,CA-2015-106376,2015-12-05,2015-12-10,3,BS-11590,Brendan Sweed,1,0,166,1,85234.0,3,TEC-PH-10002726,2,13,1848,167.968,2015,12,5,0.0542297189118696,167.38325726283236,1.0034934362416514,336,337
69,69,70,CA-2017-119823,2017-06-04,2017-06-06,0,KD-16270,Karen Daniels,0,0,462,44,22153.0,2,OFF-PA-10000482,1,12,1455,75.88,2017,6,4,0.0661136929899703,70.83438721537217,1.071231120688411,883,881
70,70,71,CA-2017-106075,2017-09-18,2017-09-23,3,HM-14980,Henry MacAllister,0,0,327,30,10009.0,1,OFF-BI-10004654,1,3,235,4.616,2017,9,18,0.1475532857426679,4.405598746117794,1.0477576978765055,989,990
71,71,72,CA-2018-114440,2018-09-14,2018-09-17,2,TB-21520,Tracy Blumstein,0,0,215,20,49201.0,0,OFF-PA-10004675,1,12,1529,19.05,2018,9,14,0.1792247432014806,19.034350692372065,1.0008221613587382,1350,1349
72,72,73,US-2016-134026,2016-04-26,2016-05-02,3,JE-15745,Joel Eaton,0,0,287,40,38109.0,2,FUR-CH-10000513,0,5,813,831.936,2016,4,26,0.0700972138567809,892.9842558768029,0.9316356862116668,479,481
73,73,74,US-2016-134026,2016-04-26,2016-05-02,3,JE-15745,Joel Eaton,0,0,287,40,38109.0,2,FUR-FU-10003708,0,9,1545,97.04,2016,4,26,0.1392263382798269,94.18239017945083,1.0303412327411143,479,481
74,74,75,US-2016-134026,2016-04-26,2016-05-02,3,JE-15745,Joel Eaton,0,0,287,40,38109.0,2,OFF-ST-10004123,1,14,1381,72.784,2016,4,26,0.1791636805760984,76.66711596610621,0.9493509581366946,479,481
75,75,76,US-2018-118038,2018-12-09,2018-12-11,0,KB-16600,Ken Brennan,1,0,207,41,77041.0,0,OFF-BI-10004182,1,3,542,1.248,2018,12,9,0.2282680851909608,1.3283732937148112,0.9394949491268028,1436,1434
76,76,77,US-2018-118038,2018-12-09,2018-12-11,0,KB-16600,Ken Brennan,1,0,207,41,77041.0,0,FUR-FU-10000260,0,9,30,9.708,2018,12,9,0.2669044601996197,10.601382020668304,0.9157296644035108,1436,1434
77,77,78,US-2018-118038,2018-12-09,2018-12-11,0,KB-16600,Ken Brennan,1,0,207,41,77041.0,0,OFF-ST-10000615,1,14,1448,27.24,2018,12,9,0.0944989808377268,27.57086700358416,0.9879993979318404,1436,1434
78,78,79,US-2015-147606,2015-11-26,2015-12-01,2,JE-15745,Joel Eaton,0,0,207,41,77070.0,0,FUR-FU-10003194,0,9,564,19.3,2015,11,26,0.1517488237612727,19.33494601089273,0.9981925984756802,327,328
79,79,80,CA-2017-127208,2017-06-12,2017-06-15,0,SC-20770,Stewart Carmichael,1,0,116,0,35601.0,2,OFF-AP-10002118,1,1,8,208.16,2017,6,12,0.2766254656707032,223.40938977593265,0.9317423954685748,891,890
80,80,81,CA-2017-127208,2017-06-12,2017-06-15,0,SC-20770,Stewart Carmichael,1,0,116,0,35601.0,2,OFF-BI-10002309,1,3,247,16.74,2017,6,12,0.1670328364850578,17.124255103297443,0.9775607697397912,891,890
81,81,82,CA-2015-139451,2015-10-12,2015-10-16,3,DN-13690,Duane Noonan,0,0,436,3,94122.0,3,OFF-AR-10002053,1,2,1303,14.9,2015,10,12,0.0761583371116829,13.784346905035958,1.0809362317018043,282,282
82,82,83,CA-2015-139451,2015-10-12,2015-10-16,3,DN-13690,Duane Noonan,0,0,436,3,94122.0,3,OFF-ST-10002370,1,14,1465,21.39,2015,10,12,0.1119098386659777,23.29718434180329,0.918136702108626,282,282
83,83,84,CA-2016-149734,2016-09-03,2016-09-08,3,JC-16105,Julie Creighton,1,0,128,31,27707.0,2,OFF-EN-10000927,1,7,939,200.984,2016,9,3,0.0525897800674136,187.24121162178955,1.07339617309233,609,610
84,84,85,US-2018-119662,2018-11-13,2018-11-16,0,CS-12400,Christopher Schild,2,0,80,11,60623.0,0,OFF-ST-10003656,1,14,1380,230.376,2018,11,13,0.2925892890260178,232.40118427965712,0.9912858263354624,1410,1409
85,85,86,CA-2018-140088,2018-05-28,2018-05-30,2,PO-18865,Patrick O'Donnell,0,0,93,38,29203.0,2,FUR-CH-10000863,0,5,1172,301.96,2018,5,28,0.227308837197612,315.9951685812149,0.9555842304670944,1241,1239
86,86,87,CA-2018-155558,2018-10-26,2018-11-02,3,PG-18895,Paul Gonzalez,0,0,408,21,55901.0,0,TEC-AC-10001998,2,0,1022,19.99,2018,10,26,0.116575927885127,21.83385105344806,0.9155508092029015,1392,1395
87,87,88,CA-2018-155558,2018-10-26,2018-11-02,3,PG-18895,Paul Gonzalez,0,0,408,21,55901.0,0,OFF-LA-10000134,1,10,221,6.16,2018,10,26,0.1766375338821745,5.602973368992191,1.0994162553208782,1392,1395
88,88,89,CA-2017-159695,2017-04-05,2017-04-10,2,GM-14455,Gary Mitchum,2,0,207,41,77095.0,0,OFF-ST-10003442,1,14,581,158.368,2017,4,5,0.0598558782475685,142.53742867624612,1.111062557187774,823,824
89,89,90,CA-2017-109806,2017-09-17,2017-09-22,3,JS-15685,Jim Sink,1,0,265,3,90036.0,3,OFF-AR-10004930,1,2,1578,20.1,2017,9,17,0.0557697416284356,19.61940906262627,1.024495688725367,988,989
90,90,91,CA-2017-109806,2017-09-17,2017-09-22,3,JS-15685,Jim Sink,1,0,265,3,90036.0,3,TEC-PH-10004093,2,13,1243,73.584,2017,9,17,0.1847141487800331,77.78653291417893,0.945973515507941,988,989
91,91,92,CA-2017-109806,2017-09-17,2017-09-22,3,JS-15685,Jim Sink,1,0,265,3,90036.0,3,OFF-PA-10000304,1,12,1786,6.48,2017,9,17,0.1280424630904893,6.149419839995719,1.0537579427987978,988,989
92,92,93,CA-2016-149587,2016-01-31,2016-02-05,2,KB-16315,Karl Braun,0,0,298,21,55407.0,0,OFF-PA-10003177,1,12,1790,12.96,2016,1,31,0.2969089052075115,12.111165529808636,1.0700869349116044,393,394
93,93,94,CA-2016-149587,2016-01-31,2016-02-05,2,KB-16315,Karl Braun,0,0,298,21,55407.0,0,FUR-FU-10003799,0,9,1439,53.34,2016,1,31,0.1061766253119128,55.670432835510525,0.9581387692386684,393,394
94,94,95,CA-2016-149587,2016-01-31,2016-02-05,2,KB-16315,Karl Braun,0,0,298,21,55407.0,0,OFF-BI-10002852,1,3,903,32.96,2016,1,31,0.1687274662939747,31.420506329058984,1.048996462845579,393,394
95,95,96,US-2018-109484,2018-11-06,2018-11-12,3,RB-19705,Roger Barcio,2,0,387,35,97206.0,3,OFF-BI-10004738,1,3,672,5.682,2018,11,6,0.1455355828487183,5.73838811543867,0.9901735270768872,1403,1405
96,96,97,CA-2018-161018,2018-11-09,2018-11-11,2,PN-18775,Parhena Norris,2,0,327,30,10009.0,1,FUR-FU-10000629,0,9,31,96.53,2018,11,9,0.2068690396989035,105.31907518144988,0.9165481166036872,1406,1404
97,97,98,CA-2018-157833,2018-06-17,2018-06-20,0,KD-16345,Katherine Ducich,0,0,436,3,94122.0,3,OFF-BI-10001721,1,3,1572,51.312,2018,6,17,0.0731466951687921,46.86608785724229,1.094864161828491,1261,1260
98,98,99,CA-2017-149223,2017-09-06,2017-09-11,3,ER-13855,Elpida Rittenbach,1,0,425,21,55106.0,0,OFF-AP-10000358,1,1,636,77.88,2017,9,6,0.119820737532378,83.527958889302,0.9323824146500798,977,978
99,99,100,CA-2017-158568,2017-08-29,2017-09-02,3,RB-19465,Rick Bensley,2,0,80,11,60610.0,0,OFF-PA-10003256,1,12,261,64.624,2017,8,29,0.2272202672988658,61.73008678202468,1.0468801093410742,969,969
100,100,101,CA-2017-158568,2017-08-29,2017-09-02,3,RB-19465,Rick Bensley,2,0,80,11,60610.0,0,TEC-AC-10001767,2,0,1404,95.976,2017,8,29,0.0866531396743512,102.60424378568857,0.9353999060747126,969,969
101,101,102,CA-2017-158568,2017-08-29,2017-09-02,3,RB-19465,Rick Bensley,2,0,80,11,60610.0,0,OFF-BI-10002609,1,3,255,1.788,2017,8,29,0.1345527840208085,1.745194741591754,1.0245274967819376,969,969
102,102,103,CA-2017-129903,2017-12-01,2017-12-04,2,GZ-14470,Gary Zandusky,0,0,408,21,55901.0,0,OFF-PA-10004040,1,12,1588,23.92,2017,12,1,0.2457869751132641,24.869527880210445,0.961819625817424,1063,1062
103,103,104,US-2016-156867,2016-11-13,2016-11-17,3,LC-16870,Lena Cacioppo,0,0,24,4,80013.0,3,TEC-AC-10001552,2,0,1006,238.896,2016,11,13,0.2633341217621746,230.8507258984217,1.0348505471241982,680,680
104,104,105,US-2016-156867,2016-11-13,2016-11-17,3,LC-16870,Lena Cacioppo,0,0,24,4,80013.0,3,FUR-FU-10004006,0,9,511,102.36,2016,11,13,0.2386656357260589,94.12446619880356,1.08749620724331,680,680
105,105,106,US-2016-156867,2016-11-13,2016-11-17,3,LC-16870,Lena Cacioppo,0,0,24,4,80013.0,3,OFF-BI-10002794,1,3,270,36.882,2016,11,13,0.2518670958324357,35.24603665518889,1.0464155263984911,680,680
106,106,107,CA-2018-119004,2018-11-23,2018-11-28,3,JM-15250,Janet Martin,0,0,74,31,28205.0,2,TEC-AC-10003499,2,0,1077,74.112,2018,11,23,0.1889116896419993,78.86562388820316,0.9397250201819018,1420,1421
107,107,108,CA-2018-119004,2018-11-23,2018-11-28,3,JM-15250,Janet Martin,0,0,74,31,28205.0,2,TEC-PH-10002844,2,13,1477,27.992,2018,11,23,0.2440222842919259,28.19591767522328,0.992767829812382,1420,1421
108,108,109,CA-2018-119004,2018-11-23,2018-11-28,3,JM-15250,Janet Martin,0,0,74,31,28205.0,2,OFF-AR-10000390,1,2,1161,3.304,2018,11,23,0.2177042902074515,3.6256186555419134,0.9112927513625002,1420,1421
109,109,110,CA-2016-129476,2016-10-15,2016-10-20,3,PA-19060,Pete Armstrong,2,0,350,11,60462.0,0,TEC-AC-10000844,2,0,1020,339.96,2016,10,15,0.1881345431879327,333.70276129102643,1.0187509347683117,651,652
110,110,111,CA-2018-146780,2018-12-25,2018-12-30,3,CV-12805,Cynthia Voltz,1,0,327,30,10035.0,1,FUR-FU-10001934,0,9,1039,41.96,2018,12,25,0.1608651588541041,40.04818849661157,1.0477377772917291,1452,1453
111,111,112,CA-2017-128867,2017-11-03,2017-11-10,3,CL-12565,Clay Ludtke,0,0,492,13,50322.0,0,OFF-AR-10000380,1,2,887,75.96,2017,11,3,0.1707389960233869,75.54740868760295,1.0054613562472163,1035,1038
112,112,113,CA-2017-128867,2017-11-03,2017-11-10,3,CL-12565,Clay Ludtke,0,0,492,13,50322.0,0,OFF-BI-10003981,1,3,237,27.24,2017,11,3,0.0508715749937236,29.18873969287909,0.9332365935157348,1035,1038
113,113,114,CA-2015-115259,2015-08-25,2015-08-27,2,RC-19960,Ryan Crowe,0,0,94,33,43229.0,1,OFF-FA-10000621,1,8,1196,40.096,2015,8,25,0.2811022326963125,38.16727387960788,1.0505335048679652,234,232
114,114,115,CA-2015-115259,2015-08-25,2015-08-27,2,RC-19960,Ryan Crowe,0,0,94,33,43229.0,1,OFF-EN-10002600,1,7,1339,4.72,2015,8,25,0.091464930947292,5.101243521643904,0.925264590873512,234,232
